subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC
xQDIyvdA,smooth,SR,23.875,270.416.666.666.667,11,11,461,623.326.612.903.226,556.159.274.193.548,1,smooth,-189.842.657.910.145,189.842.657.910.145
xQDIyvdA,rough,SR,350.833.333.333.333,267.291.666.666.667,11,11,450,488.991.935.483.871,556.159.274.193.548,2,rough,-233.058.633.104.897,233.058.633.104.897
qbkpgPC9,smooth,SR,29.625,294.791.666.666.667,54,54,420,616.310.483.870.968,60.789.314.516.129,1,smooth,-195.102.816.085.009,195.102.816.085.009
qbkpgPC9,rough,SR,2.125,250.416.666.666.667,235,235,228,599.475.806.451.613,60.789.314.516.129,2,rough,0.260747462,-0.260747462
mcNUWUI6,smooth,SR,185.833.333.333.333,211.041.666.666.667,118,118,362,646.532.258.064.516,599.052.419.354.839,1,smooth,-0.433256108,0.433256108
mcNUWUI6,rough,SR,1.9,177.708.333.333.333,255,255,225,551.572.580.645.161,599.052.419.354.839,2,rough,0.903992858,-0.903992858
cCQm9cB8,smooth,SR,1.7,235.625,157,157,318,627.016.129.032.258,597.883.064.516.129,1,smooth,-0.16539363,0.16539363
cCQm9cB8,rough,SR,233.958.333.333.333,208.333.333.333.333,186,186,293,56.875,597.883.064.516.129,2,rough,-0.054971136,0.054971136
S0VYnbaj,smooth,RS,255.833.333.333.333,24.375,17,17,457,559.233.870.967.742,526.915.322.580.645,2,smooth,-176.836.272.521.651,176.836.272.521.651
S0VYnbaj,rough,RS,452.291.666.666.667,29.875,13,13,448,494.596.774.193.548,526.915.322.580.645,1,rough,-295.794.788.054.233,295.794.788.054.233
pNCyUXac,smooth,SR,13.875,157.083.333.333.333,324,324,156,685.887.096.774.194,657.449.596.774.194,1,smooth,183.807.203.100.849,-183.807.203.100.849
pNCyUXac,rough,SR,177.291.666.666.667,193.541.666.666.667,316,316,160,629.012.096.774.194,657.449.596.774.194,2,rough,139.235.288.873.018,-139.235.288.873.018
OD7o3Vdd,smooth,RS,127.916.666.666.667,147.916.666.666.667,251,251,228,679.072.580.645.161,614.475.806.451.613,2,smooth,133.362.588.308.552,-133.362.588.308.552
OD7o3Vdd,rough,RS,204.583.333.333.333,198.333.333.333.333,243,243,234,549.879.032.258.064,614.475.806.451.613,1,rough,0.624250951,-0.624250951
LdsdOTJK,smooth,RS,163.541.666.666.667,152.083.333.333.333,71,71,377,544.737.903.225.806,518.991.935.483.871,2,smooth,-0.231130595,0.231130595
LdsdOTJK,rough,RS,227.083.333.333.333,1.8,96,96,348,493.245.967.741.935,518.991.935.483.871,1,rough,-0.458180235,0.458180235
f2LYUydL,smooth,RS,0.8625,0.827083333,317,317,163,680.483.870.967.742,653.215.725.806.452,2,smooth,246.990.693.960.414,-246.990.693.960.414
f2LYUydL,rough,RS,0.81875,0.8125,340,340,140,625.947.580.645.161,653.215.725.806.452,1,rough,269.150.162.525.133,-269.150.162.525.133
523boSDv,smooth,RS,122.291.666.666.667,167.708.333.333.333,165,165,315,67.304.435.483.871,63.366.935.483.871,2,smooth,0.510293171,-0.510293171
523boSDv,rough,RS,0.985416667,119.166.666.666.667,265,265,211,59.429.435.483.871,63.366.935.483.871,1,rough,177.120.819.170.914,-177.120.819.170.914
RXXSZ6uZ,smooth,SR,232.708.333.333.333,233.541.666.666.667,6,6,466,586.834.677.419.355,538.457.661.290.323,1,smooth,-168.679.727.282.432,168.679.727.282.432
RXXSZ6uZ,rough,SR,341.875,251.875,4,4,472,49.008.064.516.129,538.457.661.290.323,2,rough,-231.818.635.249.159,231.818.635.249.159
pb7LqXeB,smooth,RS,314.583.333.333.333,2.475,26,26,429,579.899.193.548.387,536.582.661.290.323,2,smooth,-189.647.860.817.098,189.647.860.817.098
pb7LqXeB,rough,RS,373.958.333.333.333,290.416.666.666.667,14,14,440,493.266.129.032.258,536.582.661.290.323,1,rough,-252.074.205.336.556,252.074.205.336.556
qxBxO2aU,smooth,RS,0.722916667,0.816666667,383,383,96,585.665.322.580.645,575.907.258.064.516,2,smooth,309.692.051.390.009,-309.692.051.390.009
