"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC"
"42",42,"5ebd3bbcecfc7d00085d0f9e","rough","RS",0.891666666666667,1,139,139,94,57.975806451613,58.0887096774194,1,"rough",3.06194606241789,-3.06194606241789
"43",43,"5cf9179b8c98dc0001d5a431","smooth","RS",0.845833333333333,1.03333333333333,187,187,53,65.100806451613,60.6592741935484,2,"smooth",3.87782467226086,-3.87782467226086
"44",44,"5cf9179b8c98dc0001d5a431","rough","RS",2.27083333333333,2.10416666666667,150,150,90,56.2177419354838,60.6592741935484,1,"rough",2.05267708629941,-2.05267708629941
"45",45,"5f4a6d58addc8308676d3412","smooth","SR",1.61666666666667,1.95416666666667,136,136,104,66.8266129032256,67.5806451612902,1,"smooth",2.13153324999615,-2.13153324999615
"46",46,"5f4a6d58addc8308676d3412","rough","SR",1.0875,1.34583333333333,170,170,70,68.3346774193547,67.5806451612902,2,"rough",3.29853866705806,-3.29853866705806
"47",47,"5ef0c9b95817dc145532fcee","smooth","SR",2.275,2.82916666666667,49,49,190,63.3508064516129,58.4556451612904,1,"smooth",-0.197780433274386,0.197780433274386
"48",48,"5ef0c9b95817dc145532fcee","rough","SR",4.74583333333333,4.11666666666667,85,85,155,53.5604838709679,58.4556451612904,2,"rough",-1.21570029977571,1.21570029977571
"49",49,"5f653cb18aad310a9ee7c32d","smooth","RS",2.2875,1.99166666666667,10,10,224,59.1491935483871,54.0927419354839,2,"smooth",-0.406979285925987,0.406979285925987
"50",50,"5f653cb18aad310a9ee7c32d","rough","RS",3.0375,2.27916666666667,12,12,218,49.0362903225806,54.0927419354839,1,"rough",-0.782593307243033,0.782593307243033
"51",51,"60f9baa99f49184f083a9ce8","smooth","RS",2.48333333333333,2.89583333333333,42,42,197,61.7258064516129,58.4334677419355,2,"smooth",-0.443860213681897,0.443860213681897
"52",52,"60f9baa99f49184f083a9ce8","rough","RS",4.26666666666667,3.075,51,51,184,55.1411290322581,58.4334677419355,1,"rough",-1.02970493967679,1.02970493967679
"53",53,"5e440e4f19962228cf949247","smooth","RS",0.554166666666667,0.833333333333333,175,175,63,66.4032258064515,64.1068548387096,2,"smooth",3.89977685028161,-3.89977685028161
"54",54,"5e440e4f19962228cf949247","rough","RS",1.74583333333333,1.37083333333333,122,122,92,61.8104838709676,64.1068548387096,1,"rough",2.38990380748646,-2.38990380748646
"55",55,"60ca1c436511b9fc8ab35615","smooth","SR",2.6375,2.3,84,84,155,64.0201612903226,57.5282258064516,1,"smooth",0.599261974953322,-0.599261974953322
