"","X.1","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"57",57,57,"60087e9189ddb34b79b08be5","smooth","SR",1.85,2.17083333333333,18,18,206,51.5725806451614,49.5262096774194,1,"smooth",-0.0979696842715558,0.0979696842715558,1,0.858333333333333,0.075,21.283386110651,1.12147071064463,0.0731186058155213,1.61613006732961,0.601817503046557,0.0242862372538135,1154.66715936697,26,-2,-0.45,-0.0375000000000001,1.3280407238196,0.049787935634974,-1.13597209807836
"58",58,58,"60087e9189ddb34b79b08be5","rough","SR",2.3,2.20833333333333,20,20,180,47.4798387096775,49.5262096774194,2,"rough",-0.0332940231065779,0.0332940231065779,1,0.75,0.0833333333333333,0.515122662113876,0.280524264637595,0.0691419565189554,1.61613006732961,0.601817503046557,0.0242862372538135,1090.31901574072,26,-2,-0.45,-0.0375000000000001,-0.288089343510009,-0.552029567411583,-1.16025833533217
"59",59,59,"60f86773e1cc7868421ee9d8","smooth","SR",1.94166666666667,2.50416666666667,10,10,229,53.7217741935482,48.0403225806451,1,"smooth",-0.604708269581211,0.604708269581211,1,0.954166666666667,0.0416666666666667,18.8624006892957,0.549945245707172,0.0594668117490105,1.54953807808897,0.014276202350679,-0.214923704336845,1024.91775733062,6,7,-1.45416666666666,-0.125,1.27559696622543,-0.259680548089351,-1.22572534512152
"60",60,60,"60f86773e1cc7868421ee9d8","rough","SR",3.39583333333333,2.62916666666667,3,3,223,42.3588709677419,48.0403225806451,2,"rough",-1.24374738190945,1.24374738190945,1,0.929166666666667,0.0125,0.532180415348923,0.532161252327892,0.0975435055194498,1.54953807808897,0.014276202350679,-0.214923704336845,912.630453844381,6,7,-1.45416666666666,-0.125,-0.273941111863539,-0.27395675044003,-1.01080164078468
"61",61,61,"60ee913de67c56daf5e842a9","smooth","RS",2.0125,2.39166666666667,51,51,178,61.1612903225808,53.3689516129033,2,"smooth",0.276265081413028,-0.276265081413028,1,0.741666666666667,0.2125,15.2110133063551,1.02082071182891,0.0535115302016521,1.28931354626546,0.60164606569545,-0.00429479991323456,810.693992694209,-14,24,-1.425,-0.7,1.18215814624893,0.00894947303632743,-1.27155262987733
"62",62,62,"60ee913de67c56daf5e842a9","rough","RS",3.4375,3.09166666666667,27,27,192,45.5766129032259,53.3689516129033,1,"rough",-1.01122477443781,1.01122477443781,1,0.8,0.1125,0.781348171182889,0.255448529705576,0.0540433385665098,1.28931354626546,0.60164606569545,-0.00429479991323456,977.583642303012,-14,24,-1.425,-0.7,-0.107155400016529,-0.592696592659122,-1.26725782996409
"63",63,63,"605de3af48d7a575adb95b09","smooth","RS",2.13333333333333,2.47083333333333,88,88,151,60.7540322580645,58.3084677419354,2,"smooth",0.772446998779446,-0.772446998779446,1,0.629166666666667,0.366666666666667,0.713288704024727,0.257369303143404,0.0537100224131879,-0.0730019245089216,0.146170219345889,-0.00416783452084291,723.869190277531,-9,10,-0.26666666666667,-0.225,-0.146734653616459,-0.589443253354061,-1.26994466639341
"64",64,64,"605de3af48d7a575adb95b09","rough","RS",2.4,2.69583333333333,78,78,160,55.8629032258064,58.3084677419354,1,"rough",0.369993161091188,-0.369993161091188,1,0.666666666666667,0.325,0.84385391749062,0.183817361210725,0.0542279476503741,-0.0730019245089216,0.146170219345889,-0.00416783452084291,865.348347680351,-9,10,-0.26666666666667,-0.225,-0.0737327291075375,-0.735613472699951,-1.26577683187257
"65",65,65,"604b7e9e029f0b8989930090","smooth","SR",2.875,3.81666666666667,17,17,222,64.3588709677419,55.9052419354839,1,"smooth",-1.56618936518794,1.56618936518794,1,0.925,0.0708333333333333,0.706803283990781,0.486517885104696,0.108200099164321,-0.0054863921577081,0.0890145454115432,0.0783344312293428,1020.30554753236,-14,13,-1.9375,-1.15,-0.150701441316149,-0.31290118980569,-0.965772341202667
"66",66,66,"604b7e9e029f0b8989930090","rough","SR",4.8125,4.96666666666667,4,4,236,47.4516129032259,55.9052419354839,2,"rough",-3.20171234726025,3.20171234726025,1,0.983333333333333,0.0166666666666667,0.715788885988233,0.396354930286985,0.0903427336448035,-0.0054863921577081,0.0890145454115432,0.0783344312293428,1064.22755208737,-14,13,-1.9375,-1.15,-0.14521504915844,-0.401915735217234,-1.04410677243201
"67",67,67,"5efde724d80f81077c0800b9","smooth","SR",2.85,2.6,3,3,231,52.6814516129034,49.5483870967742,1,"smooth",-1.09094352943733,1.09094352943733,1,0.9625,0.0125,0.61855906360285,0.414688108329943,0.0691809747012583,-0.00849608044288283,0.0145063074434276,0.0517891798130914,710.028589365031,-2,0,0.24583333333333,0.43333333333333,-0.208618825101785,-0.382278418363338,-1.16001332343765
"68",68,68,"5efde724d80f81077c0800b9","rough","SR",2.60416666666667,2.16666666666667,3,3,233,46.4153225806451,49.5483870967742,2,"rough",-0.773663146480314,0.773663146480314,1,0.970833333333333,0.0125,0.630779042190124,0.401065471363158,0.0614041178794086,-0.00849608044288283,0.0145063074434276,0.0517891798130914,691.064942825692,-2,0,0.24583333333333,0.43333333333333,-0.200122744658902,-0.396784725806765,-1.21180250325074
"69",69,69,"6116a378612ec47c9335f3ed","smooth","RS",3.15,1.87083333333333,75,75,160,57.1653225806453,50.1693548387098,2,"smooth",0.51172810099121,-0.51172810099121,1,0.666666666666667,0.3125,16.9321356447131,0.00673794699908547,0.0608196094747158,1.54339410437927,-1.40889030178761,0.228348102712896,940.00406594831,12,7,-1.11666666666667,0.05833333333333,1.22871173898426,-2.17147240951626,-1.21595637280617
