"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","bonus","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"33",33,"6095b18d2259069adefeb80a","smooth","SR",1.64166666666667,0.985416666666667,128,128,257,44.649193548125,43.7368951609375,1,1.66015264975446,"smooth",1.27072135915767,-1.27072135915767,3,0.535416666666667,0.266666666666667,12.5209039601106,0.00673794699908547,0.0881778835499013,1.44925884267614,-1.641759293058,0.143013740893492,2508.29776276178,21,12,-0.0520833333333302,0.129166666666667,1.09763568436291,-2.17147240951626,-1.0546403293431
"34",34,"6095b18d2259069adefeb80a","rough","SR",1.69375,0.85625,116,116,236,42.82459677375,43.7368951609375,2,1.66015264975446,"rough",1.35708460095357,-1.35708460095357,3,0.491666666666667,0.241666666666667,0.445017245923074,0.295315936209465,0.0634374810357176,1.44925884267614,-1.641759293058,0.143013740893492,2113.80472604927,21,12,-0.0520833333333302,0.129166666666667,-0.351623158313233,-0.529713116458254,-1.1976540702366
"35",35,"60a3a03bc01ba594c9cca88d","smooth","SR",1.52083333333333,1.85,153,153,321,62.7540322575,61.5977822571875,1,2.42561923959375,"smooth",0.694743373947057,-0.694743373947057,3,0.66875,0.31875,11.1850859891934,0.496987831127363,0.0496791174036035,1.1669871497831,0.324622825336525,0.130083885929595,1438.27698913812,116,-114,0.31875,0.36458333333333,1.0486393272336,-0.303654244946623,-1.3038261284142
"36",36,"60a3a03bc01ba594c9cca88d","rough","SR",1.20208333333333,1.48541666666667,267,267,205,60.441532256875,61.5977822571875,2,2.42561923959375,"rough",1.97784285817763,-1.97784285817763,3,0.427083333333333,0.55625,0.76146891213523,0.235354729366002,0.0368205257732615,1.1669871497831,0.324622825336525,0.130083885929595,1021.32995049812,116,-114,0.31875,0.36458333333333,-0.118347822549505,-0.628277070283148,-1.43391001434379
"37",37,"60b89e715d06ca57da9738a5","smooth","SR",2.39791666666667,3.15,2,2,478,61.076612901875,55.02217741875,1,2.14380760366071,"smooth",-1.62841990246336,1.62841990246336,3,0.995833333333333,0.00416666666666667,13.4003402349776,0.00673794699908547,0.0751421708583069,1.21144771676126,-1.80956502217503,-0.00433577745128222,1964.78124538227,0,0,-0.84583333333333,0.0499999999999998,1.12711582525268,-2.17147240951626,-1.12411626231808
"38",38,"60b89e715d06ca57da9738a5","rough","SR",3.24375,3.1,2,2,478,48.967741935625,55.02217741875,2,2.14380760366071,"rough",-1.93010830680659,1.93010830680659,3,0.995833333333333,0.00416666666666667,0.823508542302694,0.434602892717423,0.0758961096706811,1.21144771676126,-1.80956502217503,-0.00433577745128222,1825.6074418839,0,0,-0.84583333333333,0.0499999999999998,-0.0843318915085786,-0.361907387341233,-1.1197804848668
"39",39,"60e07fb75b201859ff688f91","smooth","SR",2.525,3.03333333333333,10,10,462,55.51814516125,50.1290322578125,1,1.93410138247768,"smooth",-1.51500514970087,1.51500514970087,3,0.9625,0.0208333333333333,19.3420843874438,0.693002739570156,0.0692287240801552,1.30233178785205,0.0556151464183904,-0.331241133452473,2094.19850937728,-9,6,-2.20833333333333,-1.69583333333334,1.28650327373804,-0.159265048537039,-1.15971367257828
"40",40,"60e07fb75b201859ff688f91","rough","SR",4.73333333333333,4.72916666666667,4,4,471,44.739919354375,50.1290322578125,2,1.93410138247768,"rough",-3.33359563163678,3.33359563163678,3,0.98125,0.00833333333333333,0.964209677114047,0.609705068081796,0.148431973211767,1.30233178785205,0.0556151464183904,-0.331241133452473,2376.46440169143,-9,6,-2.20833333333333,-1.69583333333334,-0.0158285141140142,-0.21488019495543,-0.828472539125811
"41",41,"60fc0d145818e7b9a3e9273c","smooth","SR",2.31875,2.35208333333333,182,182,295,62.893145161875,61.167338710625,1,2.40717165902679,"smooth",0.350087245414061,-0.350087245414061,3,0.614583333333333,0.379166666666667,4.79037661253465,0.00673794699908547,0.0551183937157411,-0.514515945073126,0,0.0490739616938047,1550.08725519904,80,-76,0.27708333333333,-0.18958333333334,0.680369658365709,-2.17147240951626,-1.25870344731514
"42",42,"60fc0d145818e7b9a3e9273c","rough","SR",2.04166666666667,2.54166666666667,258,258,215,59.441532259375,61.167338710625,2,2.40717165902679,"rough",1.01249530460601,-1.01249530460601,3,0.447916666666667,0.5375,15.6633842997859,0.00673794699908547,0.0492291787654618,-0.514515945073126,0,0.0490739616938047,1654.85289464294,80,-76,0.27708333333333,-0.18958333333334,1.19488560343884,-2.17147240951626,-1.30777740900895
