subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,bonus,context,PCA,PEC,E,Novclicksp,HVclicksp,l,b,t,dlogl,dlogb,dlogt,NLL,dnov,dhv,dd,ddprev,logl,logb,logt
2MepxQlz,rough,SR,473.333.333.333.333,472.916.666.666.667,4,4,471,44.739.919.354.375,501.290.322.578.125,2,193.410.138.247.768,rough,-333.359.563.163.678,333.359.563.163.678,3,0.98125,0.008333333,0.964209677,0.609705068,0.148431973,130.233.178.785.205,0.055615146,-0.331241133,237.646.440.169.143,-9,6,-220.833.333.333.333,-169.583.333.333.334,-0.015828514,-0.214880195,-0.828472539
yrPD43ry,smooth,SR,231.875,235.208.333.333.333,182,182,295,62.893.145.161.875,61.167.338.710.625,1,240.717.165.902.679,smooth,0.350087245,-0.350087245,3,0.614583333,0.379166667,479.037.661.253.465,0.006737947,0.055118394,-0.514515945,0,0.049073962,155.008.725.519.904,80,-76,0.277083333,-0.189583333,0.680369658,-217.147.240.951.626,-125.870.344.731.514
yrPD43ry,rough,SR,204.166.666.666.667,254.166.666.666.667,258,258,215,59.441.532.259.375,61.167.338.710.625,2,240.717.165.902.679,rough,101.249.530.460.601,-101.249.530.460.601,3,0.447916667,0.5375,156.633.842.997.859,0.006737947,0.049229179,-0.514515945,0,0.049073962,165.485.289.464.294,80,-76,0.277083333,-0.189583333,119.488.560.343.884,-217.147.240.951.626,-130.777.740.900.895
kko9jTPZ,smooth,SR,216.458.333.333.333,2.475,176,176,293,61.669.354.838.125,5.753.125,1,225.133.928.571.429,smooth,0.328036839,-0.328036839,3,0.610416667,0.366666667,0.821520581,0.167608222,0.051592246,-155.738.165.889.726,-11.642.361.691.702,0.02972338,157.353.833.539.969,-3,2,-0.047916667,-0.0375,-0.085381552,-0.775704681,-12.874.155.667.831
kko9jTPZ,rough,SR,22.125,25.125,174,174,296,53.393.145.161.875,5.753.125,2,225.133.928.571.429,rough,0.268558188,-0.268558188,3,0.616666667,0.3625,296.483.211.919.871,24.464.226.462.542,0.048179363,-155.738.165.889.726,-11.642.361.691.702,0.02972338,18.110.303.977.329,-3,2,-0.047916667,-0.0375,147.200.010.688.416,0.388531488,-131.713.894.670.195
G1gPtpqw,smooth,SR,176.875,226.041.666.666.667,208,208,272,6.683.266.129,638.810.483.871.875,1,252.347.350.230.804,smooth,0.817880611,-0.817880611,3,0.566666667,0.433333333,391.783.334.473.372,0.010358966,0.052309506,0.648613166,-131.842.970.892.381,0.081651033,133.033.984.202.595,12,-11,-0.3625,0,0.593045958,-198.468.358.982.962,-128.141.937.867.021
G1gPtpqw,rough,SR,213.125,226.041.666.666.667,219,219,260,60.929.435.484.375,638.810.483.871.875,2,252.347.350.230.804,rough,0.773858249,-0.773858249,3,0.541666667,0.45625,0.879898936,0.21564834,0.04334406,0.648613166,-131.842.970.892.381,0.081651033,121.133.793.923.263,12,-11,-0.3625,0,-0.055567207,-0.666253881,-136.307.041.128.649
Ew6O1wAT,smooth,RS,403.958.333.333.333,383.541.666.666.667,6,6,468,58.016.129.031.875,5.383.467.741.875,2,209.291.474.651.786,smooth,-256.976.072.746.606,256.976.072.746.606,3,0.975,0.0125,171.000.144.187.134,319.985.511.672.975,0.061782188,14.176.732.820.826,0.797764085,-0.1666537,178.766.063.220.736,0,3,-117.708.333.333.334,0.3625,123.299.647.658.894,0.505130315,-120.913.671.460.922
Ew6O1wAT,rough,RS,521.666.666.666.667,347.291.666.666.667,3,3,468,49.653.225.805.625,5.383.467.741.875,1,209.291.474.651.786,rough,-284.693.949.214.078,284.693.949.214.078,3,0.975,0.00625,0.653616782,0.509760559,0.090681143,14.176.732.820.826,0.797764085,-0.1666537,165.796.134.716.011,0,3,-117.708.333.333.334,0.3625,-0.184676805,-0.29263377,-104.248.301.442.837
DEv1aHNJ,smooth,RS,109.791.666.666.667,147.291.666.666.667,286,286,194,66.695.564.516.875,626.965.725.809.375,2,247.271.025.346.875,smooth,215.083.376.602.718,-215.083.376.602.718,3,0.404166667,0.595833333,517.385.375.739.438,0.006737947,0.04959569,0.5890704,-117.303.423.614.978,0.031245271,13.578.906.149.894,-51,52,-0.475,-0.102083333,0.713814149,-217.147.240.951.626,-130.455.606.494.706
DEv1aHNJ,rough,RS,157.291.666.666.667,1.575,234,234,245,58.697.580.645,626.965.725.809.375,1,247.271.025.346.875,rough,147.975.605.033.791,-147.975.605.033.791,3,0.510416667,0.4875,133.273.483.208.813,0.100360271,0.046152865,0.5890704,-117.303.423.614.978,0.031245271,147.848.386.005.037,-51,52,-0.475,-0.102083333,0.124743749,-0.998438173,-133.580.133.595.233
fxpB9QGa,smooth,SR,310.208.333.333.333,3.175,108,108,368,61.909.274.193.125,595.796.370.959.375,1,233.912.730.411.161,smooth,-100.746.835.875.051,100.746.835.875.051,3,0.766666667,0.225,152.984.227.740.831,0.91574355,0.064752309,-0.043905587,213.324.627.775.456,0.101283174,172.502.611.472.584,59,-61,-0.970833333,-0.654166667,118.464.665.854.171,-0.038226132,-118.874.473.751.822
fxpB9QGa,rough,SR,407.291.666.666.667,382.916.666.666.667,169,169,309,5.724.999.999.875,595.796.370.959.375,2,233.912.730.411.161,rough,-122.674.943.749.797,122.674.943.749.797,3,0.64375,0.352083333,169.259.185.119.602,0.006737947,0.051282842,-0.043905587,213.324.627.775.456,0.101283174,18.219.686.777.057,59,-61,-0.970833333,-0.654166667,122.855.224.567.931,-217.147.240.951.626,-129.002.791.146.745
9xutvSye,smooth,RS,170.625,210.625,251,251,227,6.940.725.806.375,668.881.048.390.625,2,265.234.735.024.554,smooth,129.352.445.483.644,-129.352.445.483.644,3,0.472916667,0.522916667,183.691.768.320.809,0.111598282,0.053555919,0.284088705,0.045846952,0.058002609,126.112.435.239.927,36,-32,-0.310416667,-0.525,0.264089695,-0.952342491,-127.119.252.013.036
9xutvSye,rough,RS,201.666.666.666.667,263.125,283,283,191,64.368.951.614.375,668.881.048.390.625,1,265.234.735.024.554,rough,11.805.522.521.697,-11.805.522.521.697,3,0.397916667,0.589583333,0.954994762,0.100417766,0.046860279,0.284088705,0.045846952,0.058002609,128.430.439.594.603,36,-32,-0.310416667,-0.525,-0.01999901,-0.998189443,-132.919.512.891.375
BofXoNFk,smooth,SR,192.083.333.333.333,230.833.333.333.333,65,65,392,64.608.870.966.875,57.031.249.999.375,1,222.991.071.425.893,smooth,-0.371124988,0.371124988,3,0.816666667,0.135416667,102.660.129.769.124,0.045934693,0.066188561,108.755.739.942.557,-0.910128053,0.005636858,174.048.804.977.961,-64,54,-196.041.666.666.667,-0.397916667,101.140.180.890.174,-133.785.917.963.791,-117.921.706.167.271
BofXoNFk,rough,SR,388.125,270.625,11,11,456,49.453.629.031.875,57.031.249.999.375,2,222.991.071.425.893,rough,-183.844.294.049.607,183.844.294.049.607,3,0.95,0.022916667,0.839159295,0.37348131,0.065335028,108.755.739.942.557,-0.910128053,0.005636858,170.053.314.418.042,-64,54,-196.041.666.666.667,-0.397916667,-0.076155591,-0.427731126,-118.485.391.933.067
RksVc4sw,smooth,RS,352.083.333.333.333,257.083.333.333.333,8,8,468,58.856.854.836.875,53.755.040.321.875,2,208.950.172.808.036,smooth,-168.993.361.239.389,168.993.361.239.389,3,0.975,0.016666667,0.675772663,0.479479978,0.074798256,0.051423618,0.022423996,0.033235609,117.564.404.076.978,10,2,0.091666667,0.58125,-0.170199381,-0.319229523,-112.610.852.786.343
RksVc4sw,rough,RS,342.916.666.666.667,198.958.333.333.333,6,6,458,48.653.225.806.875,53.755.040.321.875,1,208.950.172.808.036,rough,-131.261.218.077.877,131.261.218.077.877,3,0.954166667,0.0125,0.600311967,0.455351195,0.069287655,0.051423618,0.022423996,0.033235609,128.228.767.513.318,10,2,0.091666667,0.58125,-0.221622999,-0.341653519,-115.934.413.683.895
l2LuBYfu,smooth,SR,195.208.333.333.333,2.275,219,219,261,65.350.806.453.125,627.308.467.740.625,1,247.417.914.745.982,smooth,0.831436719,-0.831436719,3,0.54375,0.45625,824.648.766.518.569,0.040808028,0.047961764,0.874818475,-0.43487694,0.141036294,125.498.049.319.319,68,-68,-0.5625,-0.28125,0.916269014,-138.925.439.642.734,-131.910.484.960.536
l2LuBYfu,rough,SR,251.458.333.333.333,255.625,287,287,193,60.110.887.095,627.308.467.740.625,2,247.417.914.745.982,rough,103.545.031.637.589,-103.545.031.637.589,3,0.402083333,0.597916667,110.014.654.450.163,0.111076591,0.034662418,0.874818475,-0.43487694,0.141036294,105.607.708.705.617,68,-68,-0.5625,-0.28125,0.041450539,-0.954377456,-146.014.114.358.434
pKIXxVyK,smooth,RS,154.583.333.333.333,21.125,261,261,217,65.096.774.195,62.704.637.096.875,2,247.305.587.558.036,smooth,143.647.121.899.777,-143.647.121.899.777,3,0.452083333,0.54375,496.333.986.034.707,0.080104859,0.049468145,-0.52806293,-0.856176988,-0.010244636,130.008.071.710.097,22,-17,-0.772916667,-0.620833333,0.695774014,-109.634.113.710.564,-130.567.437.429.167
pKIXxVyK,rough,RS,231.875,273.333.333.333.333,278,278,195,6.031.249.999.875,62.704.637.096.875,1,247.305.587.558.036,rough,0.971445669,-0.971445669,3,0.40625,0.579166667,167.431.413.628.381,0.575222481,0.050648928,-0.52806293,-0.856176988,-0.010244636,165.242.216.242.659,22,-17,-0.772916667,-0.620833333,122.383.694.401.297,-0.240164149,-129.542.973.836.861
r0YPdwfd,smooth,RS,112.291.666.666.667,130.833.333.333.333,147,147,327,6.305.040.322.625,56.318.548.386.875,2,21.993.663.594.375,smooth,108.578.322.647.782,-108.578.322.647.782,3,0.68125,0.30625,101.318.257.803.583,0.006737947,0.051554809,116.537.444.980.333,-179.753.055.321.548,-0.137488151,138.565.923.447.634,-149,145,-299.166.666.666.666,-122.916.666.666.667,10.056.877.133.649,-217.147.240.951.626,-128.773.081.585.827
r0YPdwfd,rough,RS,411.458.333.333.333,25.375,2,2,476,495.866.935.475,56.318.548.386.875,1,21.993.663.594.375,rough,-196.147.609.116.379,196.147.609.116.379,3,0.991666667,0.004166667,0.69233018,0.422725205,0.070755033,116.537.444.980.333,-179.753.055.321.548,-0.137488151,156.951.067.920.637,-149,145,-299.166.666.666.666,-122.916.666.666.667,-0.159686736,-0.373941856,-115.024.266.476.115
FTwnzJSm,smooth,RS,14.625,198.333.333.333.333,221,221,253,6.414.112.903.125,62.075.604.838.125,2,244.609.735.020.536,smooth,121.803.089.133.105,-121.803.089.133.105,3,0.527083333,0.460416667,104.692.082.081.216,0.147287663,0.046963859,0.061724092,-0.023237879,0.00670706,135.144.322.341.943,17,-15,-0.285416667,-0.2125,0.019913837,-0.831833628,-132.823.622.099.121
FTwnzJSm,rough,RS,174.791.666.666.667,219.583.333.333.333,236,236,236,60.010.080.645,62.075.604.838.125,1,244.609.735.020.536,rough,112.911.944.163.058,-112.911.944.163.058,3,0.491666667,0.491666667,0.908217246,0.155383268,0.046244141,0.061724092,-0.023237879,0.00670706,153.133.406.798.533,17,-15,-0.285416667,-0.2125,-0.041810255,-0.80859575,-133.494.328.098.347
AqqqOGhf,smooth,RS,220.625,216.458.333.333.333,23,23,435,5.409.475.806.375,515.070.564.509.375,2,199.315.956.218.304,smooth,-0.762767857,0.762767857,3,0.90625,0.047916667,240.788.655.090.292,183.424.045.896.936,0.055438364,150.577.464.867.598,0.6254033,-0.134802176,189.286.497.525.513,-12,3,-0.552083333,-0.285416667,138.163.602.100.874,0.263456269,-125.618.959.493.866
AqqqOGhf,rough,RS,275.833.333.333.333,2.45,20,20,447,48.919.354.838.125,515.070.564.509.375,1,199.315.956.218.304,rough,-119.133.260.174.356,119.133.260.174.356,3,0.93125,0.041666667,0.751383013,0.434563222,0.075615805,150.577.464.867.598,0.6254033,-0.134802176,167.866.010.240.283,-12,3,-0.552083333,-0.285416667,-0.124138628,-0.361947031,-112.138.741.900.026
