"","prolificID","assigned_condition","block_nr","trial_nr","grid","selected_choice","reward"
"80","668796f32bb0599e8ff9bfef",1,19,0,9,224,71
"81","5e56c5f6ca5e640720f2cc28",0,0,0,2,219,65
"82","5e56c5f6ca5e640720f2cc28",0,1,0,3,73,20
"83","5e56c5f6ca5e640720f2cc28",0,2,0,18,221,50
"84","5e56c5f6ca5e640720f2cc28",0,3,0,19,89,40
"85","5e56c5f6ca5e640720f2cc28",0,4,0,4,120,55
"86","5e56c5f6ca5e640720f2cc28",0,5,0,12,179,60
"87","5e56c5f6ca5e640720f2cc28",0,6,0,5,218,30
"88","5e56c5f6ca5e640720f2cc28",0,7,0,11,149,25
"89","5e56c5f6ca5e640720f2cc28",0,8,0,6,179,20
"90","5e56c5f6ca5e640720f2cc28",0,9,0,10,224,15
"91","5e56c5f6ca5e640720f2cc28",0,10,0,8,177,15
"92","5e56c5f6ca5e640720f2cc28",0,11,0,13,221,15
"93","5e56c5f6ca5e640720f2cc28",0,12,0,14,89,40
"94","5e56c5f6ca5e640720f2cc28",0,13,0,7,224,50
"95","5e56c5f6ca5e640720f2cc28",0,14,0,9,224,65
"96","5e56c5f6ca5e640720f2cc28",0,15,0,1,89,20
"97","5e56c5f6ca5e640720f2cc28",0,16,0,16,149,42
"98","5e56c5f6ca5e640720f2cc28",0,17,0,15,224,15
"99","5e56c5f6ca5e640720f2cc28",0,18,0,17,179,30
"100","5e56c5f6ca5e640720f2cc28",0,19,0,0,149,55
"101","67276dbe692855fb2502a266",3,0,0,16,149,40
"102","67276dbe692855fb2502a266",3,1,0,17,179,50
"103","67276dbe692855fb2502a266",3,2,0,0,149,55
"104","67276dbe692855fb2502a266",3,3,0,15,224,42
"105","67276dbe692855fb2502a266",3,4,0,1,89,54
"106","67276dbe692855fb2502a266",3,5,0,3,73,12
"107","67276dbe692855fb2502a266",3,6,0,4,120,71
"108","67276dbe692855fb2502a266",3,7,0,18,221,35
"109","67276dbe692855fb2502a266",3,8,0,19,89,47
"110","67276dbe692855fb2502a266",3,9,0,2,219,80
"111","67276dbe692855fb2502a266",3,10,0,6,179,29
"112","67276dbe692855fb2502a266",3,11,0,5,218,34
"113","67276dbe692855fb2502a266",3,12,0,10,224,52
"114","67276dbe692855fb2502a266",3,13,0,12,179,14
"115","67276dbe692855fb2502a266",3,14,0,11,149,61
"116","67276dbe692855fb2502a266",3,15,0,14,89,38
"117","67276dbe692855fb2502a266",3,16,0,7,224,55
"118","67276dbe692855fb2502a266",3,17,0,9,224,76
"119","67276dbe692855fb2502a266",3,18,0,13,221,21
"120","67276dbe692855fb2502a266",3,19,0,8,177,9
"121","6470b898db27d7dae24e98c4",3,0,0,10,224,40
"122","6470b898db27d7dae24e98c4",3,1,0,6,179,42
"123","6470b898db27d7dae24e98c4",3,2,0,11,149,54
"124","6470b898db27d7dae24e98c4",3,3,0,12,179,61
"125","6470b898db27d7dae24e98c4",3,4,0,5,218,64
"126","6470b898db27d7dae24e98c4",3,5,0,8,177,12
"127","6470b898db27d7dae24e98c4",3,6,0,14,89,42
"128","6470b898db27d7dae24e98c4",3,7,0,13,221,55
"129","6470b898db27d7dae24e98c4",3,8,0,7,224,35
"130","6470b898db27d7dae24e98c4",3,9,0,9,224,65
"131","6470b898db27d7dae24e98c4",3,10,0,1,89,64
"132","6470b898db27d7dae24e98c4",3,11,0,15,224,55
"133","6470b898db27d7dae24e98c4",3,12,0,16,149,72
"134","6470b898db27d7dae24e98c4",3,13,0,0,149,72
"135","6470b898db27d7dae24e98c4",3,14,0,17,179,44
"136","6470b898db27d7dae24e98c4",3,15,0,3,73,15
"137","6470b898db27d7dae24e98c4",3,16,0,19,89,40
"138","6470b898db27d7dae24e98c4",3,17,0,18,221,60
"139","6470b898db27d7dae24e98c4",3,18,0,2,219,72
"140","6470b898db27d7dae24e98c4",3,19,0,4,120,52
"141","6666a910c3598ec451c7ef2e",3,0,0,13,221,9
"142","6666a910c3598ec451c7ef2e",3,1,0,14,89,10
"143","6666a910c3598ec451c7ef2e",3,2,0,9,224,4
"144","6666a910c3598ec451c7ef2e",3,3,0,8,177,3
"145","6666a910c3598ec451c7ef2e",3,4,0,7,224,15
"146","6666a910c3598ec451c7ef2e",3,5,0,17,179,17
"147","6666a910c3598ec451c7ef2e",3,6,0,16,149,5
"148","6666a910c3598ec451c7ef2e",3,7,0,1,89,11
"149","6666a910c3598ec451c7ef2e",3,8,0,15,224,24
"150","6666a910c3598ec451c7ef2e",3,9,0,0,149,6
"151","6666a910c3598ec451c7ef2e",3,10,0,18,221,13
"152","6666a910c3598ec451c7ef2e",3,11,0,3,73,6
"153","6666a910c3598ec451c7ef2e",3,12,0,4,120,10
"154","6666a910c3598ec451c7ef2e",3,13,0,19,89,9
"155","6666a910c3598ec451c7ef2e",3,14,0,2,219,4
"156","6666a910c3598ec451c7ef2e",3,15,0,12,179,11
"157","6666a910c3598ec451c7ef2e",3,16,0,6,179,15
"158","6666a910c3598ec451c7ef2e",3,17,0,11,149,8
"159","6666a910c3598ec451c7ef2e",3,18,0,5,218,17
"160","6666a910c3598ec451c7ef2e",3,19,0,10,224,20
"161","5f5eec89adff681a180f6aa4",0,0,0,8,177,30
"162","5f5eec89adff681a180f6aa4",0,1,0,7,224,10
"163","5f5eec89adff681a180f6aa4",0,2,0,9,224,50
"164","5f5eec89adff681a180f6aa4",0,3,0,13,221,20
"165","5f5eec89adff681a180f6aa4",0,4,0,14,89,50
"166","5f5eec89adff681a180f6aa4",0,5,0,17,179,17
