subjectID,Grid,ls,lr,smooth.expectations,rough.expectations
69,9,824.648.766.518.569,110.014.654.450.163,758.883.491.474.473,401.111.412.366.193
69,10,824.648.766.518.569,110.014.654.450.163,580.855.961.760.546,40
69,11,824.648.766.518.569,110.014.654.450.163,818.254.624.070.768,400.005.299.746.047
69,12,824.648.766.518.569,110.014.654.450.163,889.527.296.563.283,40
69,13,824.648.766.518.569,110.014.654.450.163,569.938.368.281.482,40
69,14,824.648.766.518.569,110.014.654.450.163,922.894.144.014.408,400.012.101.528.795
69,15,824.648.766.518.569,110.014.654.450.163,580.855.961.760.546,40
69,16,824.648.766.518.569,110.014.654.450.163,818.254.624.070.768,400.005.299.746.047
69,17,824.648.766.518.569,110.014.654.450.163,103.094.892.139.807,40
69,18,824.648.766.518.569,110.014.654.450.163,569.938.368.281.482,40
69,19,824.648.766.518.569,110.014.654.450.163,922.894.144.014.408,400.012.101.528.795
70,0,0.720775139,0.674090603,400.001.068.130.626,400.000.177.799.323
70,1,0.720775139,0.674090603,40,40
70,2,0.720775139,0.674090603,400.064.024.335.447,400.018.503.294.028
70,3,0.720775139,0.674090603,399.941.166.826.886,399.982.996.973.055
70,4,0.720775139,0.674090603,400.000.045.394.392,400.000.004.998.096
70,5,0.720775139,0.674090603,40,40
70,6,0.720775139,0.674090603,40,40
70,7,0.720775139,0.674090603,40,40
70,8,0.720775139,0.674090603,39.984.144.109.206,399.947.398.978.815
70,9,0.720775139,0.674090603,400.000.883.953.137,400.000.147.143.553
70,10,0.720775139,0.674090603,40,40
70,11,0.720775139,0.674090603,400.000.000.005.684,400.000.000.000.181
70,12,0.720775139,0.674090603,40,40
70,13,0.720775139,0.674090603,40,40
70,14,0.720775139,0.674090603,400.000.000.013.142,400.000.000.000.418
70,15,0.720775139,0.674090603,40,40
70,16,0.720775139,0.674090603,400.000.000.005.684,400.000.000.000.181
70,17,0.720775139,0.674090603,40,40
70,18,0.720775139,0.674090603,40,40
